1mm_2D_UDE2,Potential,V,-0.558877,-0.490894,-0.470039,-0.457637,-0.449029,-0.416113,-0.395191,-0.377513,-0.36185,-0.34696,-0.332446,-0.318019,-0.303344,-0.28843,-0.272743,-0.255283,-0.235687,-0.212724,-0.18486,-0.14953,-0.106775,0.150211,0.19947,0.243288,0.295847,0.350045,0.376943
1mm_2D_UDE2,Current Density,A/m^2,-2.26705,-35.2158,-75.3325,-115.652,-153.54,-394.24,-630.888,-872.804,-1110.06,-1348.33,-1586.8,-1825.27,-2065.37,-2303.43,-2303.43,-2303.43,-3019.66,-3259.55,-3499.03,-3738.52,-3975.97,-4211.41,-4252.74,-4292.05,-4335.41,-4374.51,-4403.28
1mm_2D_UDE2,Potential,V,-0.450981,-0.45667,-0.424867,-0.297575,-0.324939,-0.374672,-0.212566,-0.331043,-0.274878,-0.308432,-0.304658,-0.306044,-0.264927,-0.238732,-0.238732,-0.238732,-0.23745,-0.174819,-0.210719,-0.171119,-0.154581,0.0474843,-0.166286,-0.144063,-0.0414368,-0.13156,-0.141536
1mm_2D_UDE2,Current Density,A/m^2,-2.26705,-35.2158,-75.3325,-115.652,-153.54,-394.24,-630.888,-872.804,-1110.06,-1348.33,-1586.8,-1825.27,-2065.37,-2303.43,-2542.92,-2781.79,-3019.66,-3259.55,-3499.03,-3738.52,-3975.97,-4211.41,-4252.74,-4292.05,-4335.41,-4374.51,-4403.28
1mm_2D_UDE2,Potential,V,-0.558888,-0.491097,-0.47048,-0.458319,-0.44994,-0.418537,-0.399214,-0.383307,-0.369543,-0.356754,-0.344575,-0.332769,-0.321088,-0.309582,-0.297977,-0.286277,-0.27441,-0.262125,-0.249371,-0.235767,-0.22115,-0.205285,-0.202331,-0.199469,-0.196246,-0.193277,-0.191053
1mm_2D_UDE2,Current Density,A/m^2,-2.25566,-35.0388,-74.9539,-115.071,-152.768,-392.259,-627.718,-868.418,-1104.48,-1341.55,-1578.83,-1816.1,-2054.99,-2291.86,-2530.14,-2767.81,-3004.48,-3243.17,-3481.45,-3719.73,-3956,-4190.24,-4231.37,-4270.48,-4313.62,-4352.53,-4381.15
1mm_2D_UDE2,Potential,V,-0.556091,-0.488276,-0.467314,-0.454754,-0.445974,-0.411665,-0.388916,-0.368806,-0.350014,-0.330924,-0.310584,-0.287612,-0.255823,-0.20779,-0.0111118,0.41605,0.530779,0.584022,0.60685,0.638656,0.656549,0.669108,0.671223,0.673215,0.675397,0.677337,0.678758
1mm_2D_UDE2,Current Density,A/m^2,-2.25566,-35.0388,-74.9539,-115.071,-152.768,-392.259,-627.718,-868.418,-1104.48,-1341.55,-1578.83,-1816.1,-2054.99,-2291.86,-2530.14,-2767.81,-3004.48,-3243.17,-3481.45,-3719.73,-3956,-4190.24,-4231.37,-4270.48,-4313.62,-4352.53,-4381.15
1mm_2D_UDE2,Potential,V,-0.556097,-0.48867,-0.468185,-0.456115,-0.447806,-0.416746,-0.397714,-0.3821,-0.368629,-0.356146,-0.344293,-0.332834,-0.321529,-0.310426,-0.299266,-0.288057,-0.276736,-0.265074,-0.253091,-0.240602,-0.227215,-0.212688,-0.210002,-0.207403,-0.204485,-0.201805,-0.199802
1mm_2D_UDE2,Current Density,A/m^2,-2.25566,-35.0388,-74.9539,-115.071,-152.768,-392.259,-627.718,-868.418,-1104.48,-1341.55,-1578.83,-1816.1,-2054.99,-2291.86,-2530.14,-2767.81,-3004.48,-3243.17,-3481.45,-3719.73,-3956,-4190.24,-4231.37,-4270.48,-4313.62,-4352.53,-4381.15
1mm_2D_UDE2,Potential,V,-0.556083,-0.488543,-0.467919,-0.455708,-0.447264,-0.415294,-0.395269,-0.378519,-0.363793,-0.34988,-0.336385,-0.32303,-0.309492,-0.295765,-0.281422,-0.266312,-0.249547,-0.229622,-0.205373,-0.174024,-0.135345,-0.04944,-0.00251773,0.0444712,0.0983875,0.146286,0.181578
1mm_2D_UDE2,Current Density,A/m^2,-2.25566,-35.0388,-74.9539,-115.071,-152.768,-392.259,-627.718,-868.418,-1104.48,-1341.55,-1578.83,-1816.1,-2054.99,-2291.86,-2530.14,-2767.81,-3004.48,-3243.17,-3481.45,-3719.73,-3956,-4190.24,-4231.37,-4270.48,-4313.62,-4352.53,-4381.15
1mm_2D_UDE2,Potential,V,-0.556114,-0.488636,-0.467933,-0.45572,-0.447274,-0.415309,-0.395346,-0.378479,-0.363737,-0.349866,-0.337116,-0.322825,-0.30923,-0.295508,-0.281015,-0.265795,-0.248859,-0.228664,-0.204045,-0.172832,-0.13128,-0.0456684,0.00287088,0.0531086,0.108314,0.158693,0.195371
1mm_2D_UDE2,Current Density,A/m^2,-2.25566,-35.0388,-74.9539,-115.071,-152.768,-392.259,-627.718,-868.418,-1104.48,-1341.55,-1578.83,-1816.1,-2054.99,-2291.86,-2530.14,-2767.81,-3004.48,-3243.17,-3481.45,-3719.73,-3956,-4190.24,-4231.37,-4270.48,-4313.62,-4352.53,-4381.15
1mm_2D_UDE2,Potential,V,-0.556074,-0.488533,-0.467909,-0.455698,-0.447253,-0.415277,-0.395239,-0.37847,-0.363717,-0.349767,-0.336225,-0.322807,-0.309185,-0.295351,-0.28087,-0.265576,-0.248513,-0.2281,-0.203105,-0.170568,-0.12908,-0.0451631,0.00521834,0.0560516,0.113013,0.163698,0.200755
1mm_2D_UDE2,Current Density,A/m^2,-1.93404,-35.2523,-75.448,-115.839,-153.793,-394.917,-632.008,-874.406,-1112.17,-1350.97,-1589.47,-1828.33,-2068.88,-2307.92,-2547.18,-2786.5,-3025.08,-3265.01,-3504.91,-3744.93,-3982.86,-4218.47,-4259.88,-4299.26,-4342.72,-4381.92,-4410.77
1mm_2D_UDE2,Potential,V,-0.559847,-0.492114,-0.471677,-0.459716,-0.451531,-0.421463,-0.403578,-0.389271,-0.377215,-0.366292,-0.358198,-0.353737,-0.349443,-0.345367,-0.341451,-0.337713,-0.334145,-0.330702,-0.327434,-0.324364,-0.321555,-0.319063,-0.318662,-0.318293,-0.3179,-0.317561,-0.31732
1mm_2D_UDE2,Current Density,A/m^2,-1.93403,-35.2523,-75.4478,-115.838,-153.792,-394.901,-631.953,-874.284,-1111.95,-1350.64,-1589.47,-1828.33,-2068.87,-2307.83,-2547.18,-2786.49,-3025.02,-3265.01,-3504.9,-3744.89,-3983.18,-4218.47,-4259.87,-4299.25,-4299.25,-4299.25,-4299.25
1mm_2D_UDE2,Potential,V,-0.559837,-0.49209,-0.471636,-0.459656,-0.451455,-0.421279,-0.403287,-0.38887,-0.376704,-0.36567,-0.357212,-0.352554,-0.348073,-0.343816,-0.339719,-0.335806,-0.332067,-0.328431,-0.324968,-0.32171,-0.31873,-0.316127,-0.315719,-0.315355,-0.315355,-0.315355,-0.315355
